trial_id,job_id,lr,epochs,dropout,weight_decay,batch_size,gradient_clip,lr_scheduler,lr_scheduler_factor,lr_scheduler_patience,early_stopping_patience,cls_pos_weight,conv1_filters,conv1_kernel,conv1_padding,conv2_filters,conv2_kernel,conv2_padding,conv3_filters,conv3_kernel,conv3_padding,conv4_filters,conv4_kernel,conv4_padding,pool_size,fc1_size,fc2_size,score,recall,precision,status,retries,created_at,updated_at
trial_49,7230052.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0244755464265037,200,0.6641605807743448,6.678497529778815e-07,32,9.852471174474712,True,0.7170659827276115,6,21,1.4277209652447893,,,,,,,,,,,,,,,,0.9479612673736908,0.9875111507582516,0.8695993715632364,0,0,2026-06-30T11:09:31.210944+00:00,2026-07-06T01:41:20.941619+00:00
trial_50,7230067.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0046840556374843,100,0.6059906946268026,0.0014790990919503,256,7.002100149902226,True,0.2680356282894896,24,21,8.560755596997659,,,,,,,,,,,,,,,,0.9366416771711008,0.9687778768956288,0.8715890850722311,0,0,2026-06-30T11:36:43.612658+00:00,2026-07-06T01:41:20.941619+00:00
trial_51,7230080.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0003328491076927,50,0.0507830155818372,1.265675059770134e-07,32,1.182000572309887,False,0.6994500955806893,33,10,1.5006661346621388,,,,,,,,,,,,,,,,0.937536945812808,0.9794826048171276,0.8551401869158879,0,0,2026-06-30T11:50:13.626761+00:00,2026-07-06T01:41:20.941619+00:00
trial_52,7230090.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0002644733998736,300,0.3584901036178031,0.0048616087087942,64,3.100658831516745,False,0.9034974429468154,36,17,3.974819512305472,,,,,,,,,,,,,,,,0.9406131542195916,0.9705619982158786,0.8795472918350848,0,0,2026-06-30T12:01:12.159723+00:00,2026-07-06T01:41:20.941619+00:00
trial_53,7230108.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,9.011953706278962e-05,150,0.4628312471426362,7.301867032950861e-07,256,0.6917738974570353,False,0.0743715198687988,17,10,2.7618266646845995,,,,,,,,,,,,,,,,0.9258610624635144,0.9794826048171276,0.8243243243243243,0,0,2026-06-30T12:19:28.382444+00:00,2026-07-06T01:41:20.941619+00:00
trial_54,7230111.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,4.069060814031543e-05,50,0.0028083621432926,4.9135462925474456e-08,64,0.5568223598887334,False,0.5092889312916592,35,5,9.908225113644438,,,,,,,,,,,,,,,,0.9241585834255582,0.9741302408563782,0.8285280728376327,0,0,2026-06-30T12:24:12.941301+00:00,2026-07-06T01:41:20.941619+00:00
trial_55,7230115.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,1.4383036207139108e-05,25,0.0062344256430048,0.0137041322143775,128,3.859498852105801,False,0.3851984421470426,10,28,9.22269144647052,,,,,,,,,,,,,,,,0.9124960654705696,0.9946476360392508,0.7694962042788129,0,0,2026-06-30T12:31:52.143888+00:00,2026-07-06T01:41:20.941619+00:00
trial_56,7230120.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,4.51291078089095e-05,200,0.0620706557773637,9.173443298913146e-07,32,8.811413811028855,False,0.5847580827258809,1,4,7.847452597443734,,,,,,,,,,,,,,,,0.9304478195684768,0.9794826048171276,0.8362528560548362,0,0,2026-06-30T12:37:39.408484+00:00,2026-07-06T01:41:20.941619+00:00
trial_57,7230124.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6.618730617740997e-05,300,0.4087326718198406,2.995605149459809e-06,128,2.7272808477687827,False,0.4634512471280015,23,22,8.56612407610961,,,,,,,,,,,,,,,,0.9298641034139874,0.9625334522747548,0.8638911128903123,0,0,2026-06-30T12:41:53.550003+00:00,2026-07-06T01:41:20.941619+00:00
trial_58,7230139.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0040477402240457,25,0.6886893307827378,0.000241995239725,64,2.359965491507709,True,0.5028816682989811,15,25,5.984664535415132,,,,,,,,,,,,,,,,0.9229242686127648,0.9892952720785012,0.8018799710773681,0,0,2026-06-30T12:55:48.390093+00:00,2026-07-06T01:41:20.941619+00:00
